"id_jednostki","sektor","klasa","pkd","woj","waga"
"a9cc990df6a99ab215a1bc13f51d4825c7d52d18",0,"D","O","14",1
"c9dbaf50890165ebe810aa770de0e9df903dc35b",0,"D","O","24",6
"718e0bba42bcec6ed98f9690db6d26cb7b93c880",0,"D","R.S","14",1
"532a1879a692b9d7bbb7282ba757d028156ef341",0,"D","R.S","14",1
"0b6b623fa45e257284a3049d097af322841337e3",0,"D","R.S","22",1
"c855a825e80866c00c7513721d5fcb38929f3cd6",0,"S","R.S","26",1
"98861ee6b125b54b82dd6b27a86b85c13446b2ea",0,"D","R.S","12",1
"c8031e4e01ecee538c8c0685a0c90c759d7de62a",0,"S","R.S","18",1
"305431233b9bf5157154e6d6c9273e508897964a",0,"D","R.S","14",1
"f2ac960927b5254a7ce3429a8e37419612ba9fac",0,"D","R.S","02",1
"d295e79ff582821bd6ba881d8a1c1d8cf3c3b1e1",0,"D","R.S","14",1
"194a8613393e6db03323f2cca57486bc43d47e69",0,"D","P","12",1
"1bcf788330a0829c33214dcfa459bee286368010",0,"D","P","10",1
"a33fa075272278e58dbddf7e05a32c496383eebf",0,"D","P","02",1
"13420a87af980b72b11d8ca5d7280ec002944db0",0,"D","P","04",1
"145585674c5afe4f36eb0267f1976d05a1aa3cf3",0,"D","P","04",1
"44e1bf649ccc62322ae99033109a533dec9cb141",0,"D","P","24",1
"d9371744a05b90857c741b6d5301135afc36f38f",0,"D","P","14",1
"1854b0829848a77a11bb82b8259f2c03f92100c9",0,"D","P","10",1
"7fddce081cbb1dd5da072e1683e9bfd20acab593",0,"D","P","30",1
"7be60f7cb4e673bdfd08cd2e0f36a39d5184221c",0,"D","P","12",1
"c365458756707fcaa4b845659738ee39887d394b",0,"D","P","14",1
"41de5ca1bc184e4b814a37587938d69203850744",0,"D","O","14",1
"4ec4f6c04823143c4849eeecee13f60ac8faff88",0,"D","K.L","14",1
"3d40ca689a4dca7d774981dc7db408301bf7f192",0,"D","O","14",1
"c730010abdb9d20ccab34eacbe3c22a56fedad66",0,"D","O","06",1
"2b5a57b0c2f03c2b252e559bcd77d52789d33d9c",0,"D","O","04",1
"f2b18f5ef4386e70206d64810b5d3b7e0654918b",0,"D","O","24",1
"e483df774bfef34fe1ceaec548831a79ced37d81",0,"D","O","08",1
"ac1dd3ffadf76a8bd8609e87988aa5a0c81b9d66",0,"D","O","30",1
"de1a82a5c81418104dcdc7948ea75e0cd37c3580",0,"D","O","24",1
"e2c108dbf57e366f38541d715642c36d4492226d",0,"D","O","02",1
"46c9121cb20e0aacecd0f797ff5ca08525626234",0,"D","O","30",1
"80fda0567bc18e3c568d31c40c0ce10ad768e52f",0,"D","O","32",1
"18029725c33f186706aa2443b8e64409a8224598",0,"D","O","22",1
"77157b7c3bbd6f8e01afe8113d1c3852f4fae834",0,"D","O","12",1
"24b4ff51fc6e3a0a2c3f90499c8369ecc4583cdf",0,"D","O","14",1
"0ed45652ff9b26d751a8aaa302be4a89c68a2f3b",0,"D","O","28",1
"d644e38948c6e19aeca24308b5240097e84055a6",0,"D","O","14",1
"e5e0fd8be1d1b9dae551b9ae8444b1c82f78d0e5",0,"D","O","12",1
"eb848cfa2a95bc9b742614e36e2f342b3bc0c1a9",0,"D","O","10",1
"1b6a45782a23d5bd946f6d7d7a76f0712d17ef5b",0,"D","O","32",1
"d086a8bf59e30a96bc813ecd30a3f69ab804cb4b",0,"D","O","06",1
"e9ca428c56969088032c8825ac4b784610215f4c",0,"D","O","26",1
"b4f766928a4bd2d6fbca5f84716c624260180819",0,"D","O","30",1
"bf17263f8fa3a9ff12d7ff60c10c4e426aeeb36e",0,"D","O","04",1
"e989fbed4c98dad03d29cd4b697d872cb2ea2f66",0,"D","O","22",1
"93dd94ca4c959281f009caeefa4d35acbf1109a4",0,"D","O","30",1
"050bd466c627e7437690aea043115a3089ff3f7d",0,"D","O","14",1
"1dcd42c4219dc4bd9b88a49e0330f15f335e1467",1,"D","C","18",2
"09c38dc34b4e35bfa2bb3118924caa92a76ac38d",0,"D","M","24",2
"998a689fc768b79558d1167b412fd265f5a0e31b",0,"D","D.E","24",1
"544588f1fb2997bf568fad5fb6f0362eae9e6ede",0,"S","I","24",1
"906983754cea2b7b5b040f9f7772f04c581f7973",0,"D","M","24",1
"969fecea2c989d9204c7bf811ae2a4d117982356",1,"D","C","12",1
"1099e2e9638dff4ba6917046eaa09866d2ac2fa9",1,"D","C","24",1
"0444ec2cab0756369ffc1ecf24dde723f2217261",0,"D","C","22",1
"8808455f9c878698d03bae873de0b4fb796367b6",0,"D","M","14",1
